"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-04","51","H,,S","56",",,W","44",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-05","50","H,,S","65",",,W","38",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-06","49","H,,S","60",",,W","39",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-07","51","H,,S","57",",,W","44",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-08","45","H,,S","49",",,W","36",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-09","40","H,,S","44",",,W","38",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-10","44","H,,S","58",",,W","40",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-11","56","H,,S","61",",,W","45",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-12","51","H,,S","61",",,W","43",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-13","51","H,,S","62",",,W","43",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-14","56","H,,S","66",",,W","50",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-15","60","H,,S","72",",,W","50",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-16","57","H,,S","60",",,W","48",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-17","56","H,,S","69",",,W","52",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-18","62","H,,S","73",",,W","51",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-19","56","H,,S","62",",,W","47",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-20","51","H,,S","58",",,W","47",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-21","58","H,,S","67",",,W","50",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-22","55","H,,S","63",",,W","46",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-23","48","H,,S","54",",,W","42",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-24","44","H,,S","52",",,W","39",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-25","46","H,,S","59",",,W","39",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-26","51","H,,S","59",",,W","43",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-27","55","H,,S","63",",,W","49",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-28","58","H,,S","71",",,W","51",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-29","63","H,,S","77",",,W","50",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-30","55","H,,S","63",",,W","48",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-01","51","H,,S","56",",,W","47",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-02","51","H,,S","61",",,W","43",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-03","55","H,,S","67",",,W","46",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-04","61","H,,S","74",",,W","50",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-05","67","H,,S","82",",,W","55",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-06","65","H,,S","70",",,W","54",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-07","62","H,,S","72",",,W","51",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-08","60","H,,S","72",",,W","53",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-09","61","H,,S","64",",,W","58",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-10","64","H,,S","74",",,W","58",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-11","68","H,,S","77",",,W","62",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-12","73","H,,S","87",",,W","65",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-13","67","H,,S","73",",,W","55",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-14","60","H,,S","71",",,W","51",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-15","61","H,,S","71",",,W","53",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-16","62","H,,S","70",",,W","58",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-17","69","H,,S","81",",,W","61",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-18","63","H,,S","68",",,W","57",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-19","62","H,,S","75",",,W","57",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-20","63","H,,S","69",",,W","54",",,W"
